date,Month,Year,type,registration,operator,Fatalities,location,cat,Country,Manufacturer,Military / Commercial
1/2/1975,1,1975,Lockheed C-130B Hercules,58-0721,USAF,2,New Orleans ...,A1,USA,Lockheed ,M
1/3/1975,1,1975,Boeing 727,,National Airlines,0,Pensacola Re...,H2,USA,Boeing ,C
1/3/1975,1,1975,Fairchild C-123K Provider,ST-1,Air America,9,near Nha Trang,C1,Vietnam,Fairchild ,C
1/5/1975,1,1975,DHC-6 Twin Otter 200,AE-259,Argentine Army,13,near La Angostura...,A1,Argentina,De Havilland Canada,M
1/7/1975,1,1975,Convair CV-440-59,CP-961,Frigorificos Movima,0,near San Borja,A1,Bolivia,Convair ,C
1/7/1975,1,1975,BAC One-Eleven,,British Airways,0,London-Stans...,H2,U.K.,BAC ,C
1/8/1975,1,1975,Douglas C-47 (DC-3),FAC-688,SATENA,23,near El Doncello,A1,Colombia,Douglas ,C
1/9/1975,1,1975,Convair T-29D (CV-240),52-5826,USAF,7,near Newport News...,A1,USA,Convair ,M
1/9/1975,1,1975,DHC-6 Twin Otter 100,N6383,Golden West Airlines,12,"Whittier, CA",A1,USA,De Havilland Canada,C
1/9/1975,1,1975,Fokker F-27 Friendship 600,9Q-CLM,Air Zaire,1,Boende Airpo...,A1,D.R. Congo,Fokker ,C
1/9/1975,1,1975,Douglas VC-47A (DC-3),43-15527,USAF,0,Akrotiri RAF...,U1,Cyprus,Douglas ,M
1/13/1975,1,1975,Boeing 727,,Eastern Air Lines,0,"Washington, DC",H2,USA,Boeing ,C
1/15/1975,1,1975,Ilyushin Il-18V,HA-MOH,Malev,9,near Budapest-Fer...,A1,Hungary,Ilyushin ,C
1/16/1975,1,1975,Antonov An-2P,CCCP-70417,"Aeroflot, Ukraine",12,near Sam Neua Air...,A1,Laos,Antonov ,C
1/16/1975,1,1975,Dornier Do 28D-1 Skyservant,ET-AEN,Ethiopian Ministry of Public Health,0,Dolo,A1,Ethiopia,Dornier ,C
1/17/1975,1,1975,Carstedt Jet Liner 600F,N1200H,Falcon Airways,0,near Addison Airp...,A1,USA,Carstedt ,C
1/19/1975,1,1975,Douglas C-47B (DC-3),XU-HAK,Khmer Hansa Airlines,0,Phnom Penh-P...,O1,Cambodia,Douglas ,C
1/19/1975,1,1975,Douglas DC-3A-343B,XU-KAL,Khmer Hansa Airlines,0,Phnom Penh-P...,O1,Cambodia,Douglas ,C
1/19/1975,1,1975,Douglas DC-3C,N86AC,South East Asia Air Transport,0,Phnom Penh-P...,O1,Cambodia,Douglas ,C
1/22/1975,1,1975,Boeing 737-200,,VASP,0,,H2,Unknown country,Boeing ,C
1/25/1975,1,1975,Fokker F-27 Friendship 600,OY-APD,Maersk Air,0,Faroe Island...,A1,Denmark,Fokker ,C
1/28/1975,1,1975,Yakovlev Yak-40,CCCP-87825,"Aeroflot, Ukraine",0,Zaporozhye A...,A1,Ukraine,Yakovlev ,C
1/30/1975,1,1975,Fokker F-28 Fellowship 1000,TC-JAP,THY,42,near Istanbul-Yes...,A1,Turkey,Fokker ,C
1/30/1975,1,1975,Douglas DC-3-313,HI-222,LANSA,1,Santo Doming...,A1,Dominican Rep.,Douglas ,C
2/1/1975,2,1975,Douglas DC-3D,N15HC,Horizon Properties,5,Houston-Inte...,A1,USA,Douglas ,C
2/1/1975,2,1975,Vickers 806 Viscount,PK-RVM,Mandala Airlines,0,Taipei-Songs...,A1,Taiwan,Vickers ,C
2/1/1975,2,1975,Douglas C-47A (DC-3),HC-AUR,TAME Ecuador,0,Quito-Marisc...,U1,Ecuador,Douglas ,C
2/1/1975,2,1975,Howard Super Ventura,N234YU,Ebco Manufacturing Co.,2,"Egg Harbor, NJ",A1,USA,Howard ,C
2/2/1975,2,1975,BN-2A-9 Islander,5U-AAN,Transniger,0,near Agadès Airpo...,A1,Niger,Britten-Norman,C
2/3/1975,2,1975,Hawker Siddeley HS-748,RP-C1028,Philippine Air Lines,33,near Manila Inter...,A1,Philippines,Hawker ,C
2/3/1975,2,1975,Boeing 747,,Pan Am,0,near Rangoon,O2,Myanmar,Boeing ,C
2/4/1975,2,1975,Douglas C-47 (DC-3),IJ818,Indian AF,0,,U1,India,Douglas ,M
2/6/1975,2,1975,Consolidated PBY-5A Catalina,N5588W,Unknown,3,"near Wikieup, AZ",A1,USA,Consolidated ,C
2/9/1975,2,1975,BAC One-Eleven 401AK,N711ST,Jet Travel,0,South Lake T...,A1,USA,BAC ,C
2/9/1975,2,1975,Transall C-160D,50+63,German AF,42,near Chania-Soúda...,A1,Greece,Transall ,M
2/12/1975,2,1975,Ilyushin Il-18V,CCCP-75801,"Aeroflot, Moscow",0,Krasnoyarsk ...,A1,Russia,Ilyushin ,C
2/16/1975,2,1975,Douglas DC-6BF,N77DG,Pacific Alaska,3,near Fairbanks In...,A1,USA,Douglas ,C
2/17/1975,2,1975,Douglas C-47A (DC-3),TG-AMA,Aviateca,0,Tikal-El Pet...,O1,Guatemala,Douglas ,C
2/18/1975,2,1975,Boeing 737-2A8,VT-EAK,Indian Airlines,0,Bangalore-Hi...,A2,India,Boeing ,C
2/19/1975,2,1975,Yakovlev Yak-40FG,D-BOBD,General Air,0,Saarbrücken ...,A1,Germany,Yakovlev ,C
2/21/1975,2,1975,Douglas C-47B (DC-3),R3707,Rhodesian AF,0,Rushinga For...,A1,Zimbabwe,Douglas ,M
2/22/1975,2,1975,Canadair CC-106 Yukon (CL-44),HK-1972,Aerocondor de Colombia,5,near Medellín-Enr...,A1,Colombia,Canadair ,C
2/22/1975,2,1975,Douglas C-47A (DC-3),XU-GAJ,Khmer Hansa Airlines,0,Phnom Penh-P...,O1,Cambodia,Douglas ,C
2/22/1975,2,1975,Boeing 737-2A1,PP-SMU,VASP,0,,H2,Brazil,Boeing ,C
2/23/1975,2,1975,Rockwell Sabreliner 75A,N5107,General Motors,1,"near Pontiac, MI",A1,USA,Rockwell ,C
2/23/1975,2,1975,Douglas DC-3,,Yemen Airlines,0,,H2,Saudi Arabia,Douglas ,C
2/23/1975,2,1975,BN-2A-20 Islander,N90PB,PBA,0,Provincetown...,A2,USA,Britten-Norman,C
